label,node,text_bbox,overlap
recommends,Coefficient Giving,"[400.0, 133.94, 75.05, 15.07]","[400, 148, 475.05, 149.01]"
$5.6M 2022–24 SFF recs → ARC / ARC Evals,Good Ventures Foundation,"[686.88, 526.53, 356.63, 19.09]","[686.88, 526.53, 700, 545.62]"
"Direct: none found. No METR-named grant in Coefficient's 2,911-row index (Sep 11 2026) or Good Ventures' 990-PFs to Jun 2025",Alignment Research Center,"[720.0, 31.92, 1093.49, 20.1]","[1130, 50, 1470, 52.02]"
board seat (Gleave); no grant on record,Longview Philanthropy,"[1306.81, 566.93, 319.09, 19.09]","[1306.81, 566.93, 1470, 570]"
office; no grant on record,Redwood Research,"[1465.84, 960.53, 206.71, 19.09]","[1465.84, 960.53, 1470, 979.62]"
